query,resolved_name,matched_name,resolved_status,matched_status,match_type,taxid
Tapeinidium carolinense K.U.Kramer,Tapeinidium carolinense K. U. Kramer,Tapeinidium carolinense K. U. Kramer,accepted,accepted,auto_punct,2853763
Schizaea dichotoma var. sellingii Fosberg,Schizaea dichotoma var. sellingii Fosberg,Schizaea dichotoma var. sellingii Fosberg,accepted,accepted,exact,2853764
Elaphoglossum carolinense Hosok.,Elaphoglossum carolinense Hosok.,Elaphoglossum carolinense Hosok.,accepted,accepted,exact,2853765
Elaphoglossum parvisquameum Skottsb.,Elaphoglossum parvisquameum Skottsb.,Elaphoglossum parvisquameum Skottsb.,accepted,accepted,exact,2853766
Callistopteris baldwinii Copel.,Callistopteris baldwinii (D. C. Eaton) Copel.,Callistopteris baldwinii (D. C. Eaton) Copel.,accepted,accepted,auto_basio-,2853767
Calymmodon ponapensis Copel.,Calymmodon ponapensis Copel.,Calymmodon ponapensis Copel.,accepted,accepted,exact,2853768
Pteris macracantha Copel.,Pteris macracantha Copel.,Pteris macracantha Copel.,accepted,accepted,exact,2853770
Calymmodon latealatus Copel.,Calymmodon latealatus Copel.,Calymmodon latealatus Copel.,accepted,accepted,exact,2853772
Elaphoglossum crassicaule Copel.,Elaphoglossum crassicaule Copel.,Elaphoglossum crassicaule Copel.,accepted,accepted,exact,2853773
Asplenium horridum Kaulf.,Asplenium horridum Kaulf.,Asplenium horridum Kaulf.,accepted,accepted,exact,2853774
Davallia pusilla Mett.,Davallia pusilla Mett.,Davallia pusilla Mett.,accepted,accepted,exact,2853775
Diplazium melanocaulon Brack.,Diplazium melanocaulon Brack.,Diplazium melanocaulon Brack.,accepted,accepted,exact,2853776
Doryopteris decipiens J.Sm.,Doryopteris decipiens (Hook.) J. Sm.,Doryopteris decipiens (Hook.) J. Sm.,accepted,accepted,auto_basio-,2853777
Doryopteris decora Brack.,Doryopteris decora Brack.,Doryopteris decora Brack.,accepted,accepted,exact,2853778
Hymenophyllum obtusum Hook. & Arn.,Hymenophyllum obtusum Hook. & Arn.,Hymenophyllum obtusum Hook. & Arn.,accepted,accepted,exact,2853780
Hymenophyllum praetervisum Christ,Hymenophyllum praetervisum Christ,Hymenophyllum praetervisum Christ,accepted,accepted,exact,2853781
Lomagramma polyphylla Brack.,Lomagramma polyphylla Brack.,Lomagramma polyphylla Brack.,accepted,accepted,exact,2853782
Ophioglossum polyphyllum A.Braun ex Seub.,Ophioglossum polyphyllum A. Braun apud Seubert,Ophioglossum polyphyllum A. Braun apud Seubert,accepted,accepted,auto_cfonly,2853783
Tectaria latifolia Copel.,Tectaria latifolia (G. Forst.) Copel.,Tectaria latifolia (G. Forst.) Copel.,accepted,accepted,auto_basio-,2853786
Leucostegia amplissima (Christ) C.W.Chen,Leucostegia amplissima (Christ) C.W.Chen,Leucostegia amplissima (Christ) C.W.Chen,accepted,accepted,exact,2854280
